answerID,assessmentID,studentID,a1,a2,a3,a4,a5
AN001,AS001,S000,False,True,True,True,True
AN002,AS002,S000,True,True,True,True,True
AN003,AS003,S000,True,True,True,True,True
AN004,AS004,S000,True,False,True,True,True
AN005,AS005,S000,True,True,True,True,True
AN006,AS006,S000,True,True,False,True,True
AN007,AS007,S000,True,True,True,False,True
AN008,AS008,S000,True,False,True,True,True
AN009,AS009,S000,True,True,True,True,False
AN010,AS010,S000,True,True,True,True,True
AN011,AS011,S000,True,True,False,True,True
AN012,AS012,S000,True,True,True,False,True
AN013,AS013,S000,True,True,True,True,False
AN014,AS014,S000,True,False,True,True,True
AN015,AS015,S000,True,True,True,True,True
AN016,AS016,S000,True,True,True,False,True
AN017,AS017,S000,True,True,False,True,True
AN018,AS018,S000,True,True,True,True,False
AN019,AS019,S000,True,True,True,False,True
AN020,AS020,S000,True,True,True,True,True
AN021,AS021,S001,True,True,False,False,True
AN022,AS022,S001,True,True,False,False,False
AN023,AS001,S001,True,True,True,True,True
AN024,AS002,S001,True,True,False,False,True
AN025,AS003,S001,True,True,True,True,True
AN026,AS023,S001,True,True,False,True,True
AN027,AS024,S001,True,True,True,False,True
AN028,AS027,S001,True,True,True,False,False
AN029,AS026,S001,True,True,True,False,False
AN030,AS004,S001,True,True,True,True,False
AN031,AS025,S001,True,True,True,True,True
AN032,AS001,S003,True,True,False,True,True
AN033,AS025,S003,True,True,False,True,True
AN034,AS026,S003,True,True,True,True,False
AN035,AS027,S003,True,True,True,False,False
AN036,AS023,S003,True,True,True,True,True
